business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
L3PwWn54PvHm5Rd4oUg7xw|2024-10-17 21:27:51.381412|B&D Halal Food|263 W 30 Th St, New York, NY 10001|40.7495625195231,-73.99472978980441|107|4.4|10001|Indian
sQ_L8O9WMU4apxSTVa9JKg|2024-10-17 21:27:51.381430|Agra Taj Mahal|1005 Manhattan Ave, Brooklyn, NY 11222|40.7332729,-73.9550299|168|3.6|11222|Indian
tzjjjhNUPDzaa8_kkvcDQg|2024-10-17 21:27:51.381447|Empyrean Indian Kitchen & Bar|20 Hudson Pl, Hoboken, NJ 07030|40.736066251998736,-74.02880689096021|227|4.4|07030|Indian
FhXBKrLHyK7np4d0_f1s-w|2024-10-17 21:27:51.381464|Swadist Restaurant|715 Newark Ave, Jersey City, NJ 07306|40.734995,-74.061407|221|4.5|07306|Indian
bB74yGzEa3N3k4YYU2rcXQ|2024-10-17 21:27:51.381481|Tong|37-08 73rd St, Jackson Heights, NY 11372|40.748542632468485,-73.89288446952933|81|4.7|11372|Indian
D_xGTuIZqh1g6ie9QybcYw|2024-10-17 21:27:51.381499|Bawarchi Indian Cuisine|1546 Madison Ave, New York, NY 10029|40.792804,-73.950393|136|4.0|10029|Indian
LaMbEoM5Vw9CQP5usaD2xA|2024-10-17 21:27:51.381516|Tawa Food|3738 72nd St, Jackson Heights, NY 11372|40.7476070420478,-73.8939757526805|92|4.3|11372|Indian
TXjvmpAl7otZcuk_7hYZ2g|2024-10-17 21:27:51.381535|Tandoori Place|2146 Starling Ave, Bronx, NY 10462|40.83597304468253,-73.8536453|100|4.3|10462|Indian
fiPKqhW7BGq3aURuLPQn9Q|2024-10-17 21:27:51.381553|Namkeen|338 Bedford Ave, Brooklyn, NY 11249|40.712887,-73.962588|155|4.1|11249|Indian
gWuHmSQ8G5FiKv-rEogwvA|2024-10-17 21:27:51.381571|Pongal|103 Lexington Ave, New York, NY 10016|40.74217425646157,-73.98253153828634|604|3.8|10016|Indian
XUataECnaOfdo4a87NqEFg|2024-10-17 21:27:51.381588|Samudra|75-18 37th Ave, Jackson Heights, NY 11372|40.7490953,-73.8903772|669|4.2|11372|Indian
7YJxZAvMxB-oVZfHAuvBmw|2024-10-17 21:27:51.381604|Lakruwana Restaurant|668 Bay St, Staten Island, NY 10304|40.62571,-74.075373|463|4.5|10304|Indian
cuUmPDEY-1KXzShGdpsqag|2024-10-17 21:27:51.381620|Turkish Kitchen|386 3rd Ave, New York, NY 10016|40.74189,-73.98136|625|3.8|10016|Indian
noBCTbD1Ylf5QR7PXy-rkA|2024-10-17 21:27:51.381636|Cafe Himalaya|78 E 1st St, New York, NY 10009|40.7232289034083,-73.9879441220901|694|4.2|10009|Indian
tgvibHhySfASSEqJbScCiQ|2024-10-17 21:27:51.381653|Nurlan Uyghur Restaurant|43-39 Main St, Flushing, NY 11355|40.751702,-73.825982|122|4.4|11355|Indian
009Gxmmvh8bHET9mCUmMeA|2024-10-17 21:27:51.381669|Desi Flavors Deli|170 9th Ave, New York, NY 10011|40.744865,-74.00211|4|3.5|10011|Indian
lIXVm16VchbDXOf7v4hxMA|2024-10-17 21:27:51.381684|Haandi|113 Lexington Ave, New York, NY 10016|40.7424,-73.98237|348|3.4|10016|Indian
niivJKBqY5wToDukqZHetQ|2024-10-17 21:27:51.381713|Karma Kafe|505 Washington St, Hoboken, NJ 07030|40.74238,-74.02909|821|4.0|07030|Indian
FZ0fKxW-d6Qc70IjDQIQKA|2024-10-17 21:27:51.381736|My Biryani|1133 6th avenue , 44th street, Manhattan, NY 10036|40.75605,-73.98386|18|4.7|10036|Indian
fCxjrytrEw_l9vGjSCzszg|2024-10-17 21:27:51.381752|Paisley|429 Greenwich St, New York, NY 10013|40.722387,-74.0095662|128|4.2|10013|Indian
7CM15wd5d8WC_pHR674YXA|2024-10-17 21:27:51.381768|Hummus Kitchen|1613 2nd Ave, New York, NY 10028|40.77641,-73.95304|1241|4.2|10028|Indian
ZqOxAKVZEZTa4XS4zthp3Q|2024-10-17 21:27:51.381783|Bombay Grill|1176 Bedford Ave, Brooklyn, NY 11216|40.68395749161352,-73.9543181843268|314|4.5|11216|Indian
kGylVlg35MNR4Th6r2vLHQ|2024-10-17 21:27:51.381800|Pradyumna Cafe|3507 John F Kennedy Blvd, Jersey City, NJ 07307|40.7518049,-74.05380199999999|4|5.0|07307|Indian
kB3QyyhHFVyhGgp35Rnuew|2024-10-17 21:27:51.381816|Tkrc|99 Macdougal St, Manhattan, NY 10012|40.729633,-74.001038|936|3.7|10012|Indian
ml3ASw5_B5XLnd9kE8xx3g|2024-10-17 21:27:51.381832|Salt & Pepper|139 W 33rd St, New York, NY 10001|40.7498789,-73.9900547|102|2.8|10001|Indian
jzO5HyrTtumHpe-pbUlndQ|2024-10-17 21:27:51.381847|Aangan Indian Cuisine|2701 Broadway, New York, NY 10025|40.799446,-73.968795|253|3.5|10025|Indian
A0YMrxUt_EuCwmuZsbSMiQ|2024-10-17 21:27:51.381863|Ambo|55C E 8th St, New York, NY 10003|40.73115404198693,-73.99343068770982|90|4.8|10003|Indian
wQjQHZKH_DxwntbSe1QdxQ|2024-10-17 21:27:51.381880|Brick Lane Curry House|79 2nd Ave, New York, NY 10003|40.7265407754881,-73.9893999248542|1025|3.7|10003|Indian
PdOGgUoJevcOl6iGF-UtHg|2024-10-17 21:27:51.381897|Kulchay|64 Sip Ave, Jersey City, NJ 07306|40.73066,-74.06214|37|4.2|07306|Indian
QaXo7ZhglTcSWHLQ8QNY4A|2024-10-17 21:27:51.381912|BK JANI|445 Albee Sq, Brooklyn, NY 11201|40.690933,-73.983087|93|4.0|11201|Indian
DY3RKjbIT3G8URhVEvQ_UA|2024-10-17 21:27:51.382053|Shirley's India|1 Leroy Pl, New Rochelle, NY 10805|40.90748312207788,-73.7823219116449|87|4.2|10805|Indian
7Yh4Zp-l3is-4V9MrDoAIw|2024-10-17 21:27:52.715458|Lolita|45 W 45th St, New York, NY 10036|40.756371412646445,-73.9811027|47|4.4|10036|Mexican
Wx6lMnEh7dCmX-9PQF1Ifw|2024-10-17 21:27:52.715556|Toloache 50|251 West 50th St, New York, NY 10012|40.762227,-73.9856178382696|2318|4.0|10012|Mexican
MaoCNdHni6MLjM9iYQqHcg|2024-10-17 21:27:52.715580|Frida Midtown|214 E 52nd St, New York, NY 10022|40.75667,-73.969168|215|4.5|10022|Mexican
Xjswj531-FkRZPpcccU6kQ|2024-10-17 21:27:52.715598|Vida Verde|248 W 55th St, New York, NY 10019|40.7649503286729,-73.9828372257363|1709|4.2|10019|Mexican
6Ct7OeTRn4caY9g0swFBsw|2024-10-17 21:27:52.715617|La Contenta|102 Norfolk St, New York, NY 10002|40.71873,-73.98691|944|4.5|10002|Mexican
xWLSJOiN1mMRHmBmHyjAfw|2024-10-17 21:27:52.715633|Mad Dog & Beans Mexican Cantina|5 E 38th St, New York, NY 10016|40.7508568,-73.98193349999998|718|3.9|10016|Mexican
PqqnNrUtU7XTKQvUM4cyqQ|2024-10-17 21:27:52.715653|Bar Verde|65 2nd Ave, New York, NY 10003|40.7260849061034,-73.9897361397743|469|4.4|10003|Mexican
AoObdns-Y8YberOURhsosQ|2024-10-17 21:27:52.715670|Chica & The Don|24 E 21st St, New York, NY 10010|40.73937189999999,-73.98902559999999|28|4.7|10010|Mexican
SOWmvC20kikJBoWE3TmppA|2024-10-17 21:27:52.715688|Rosa Mexicano|251 E 52nd St, New York, NY 10022|40.75643,-73.967913|131|3.4|10022|Mexican
UjBZR0Vyl5zpwDVkOvNceQ|2024-10-17 21:27:52.715705|Casa Carmen|5 W 21st St, New York, NY 10010|40.74071727271747,-73.99106050000002|26|4.3|10010|Mexican
PHMkwS5nmo4IUXbcg0OcAg|2024-10-17 21:27:52.715722|Jajaja Mexicana|63 Carmine St, New York, NY 10014|40.72979,-74.00455|690|4.5|10014|Mexican
0ksKKrgHt-6xCCHfTlLcoA|2024-10-17 21:27:52.715738|tán|209 E 49th St, New York, NY 10017|40.75502324994503,-73.97048579999999|175|3.9|10017|Mexican
PAJdNrD4HFBN16OAFeDx4A|2024-10-17 21:27:52.715761|Ponche Taqueria & Cantina|420 W 49th St, New York, NY 10019|40.76319,-73.99045|579|4.1|10019|Mexican
SeI-nIE1Ab5U53mB_e-1KQ|2024-10-17 21:27:52.715777|Soledad|1825 2nd Ave, New York, NY 10128|40.78336,-73.94796|37|4.7|10128|Mexican
4GPZAkK7M9ObDBsgMq7JSA|2024-10-17 21:27:52.715793|El Gallo Taqueria|609 9th Ave, New York, NY 10036|40.75933,-73.99219|49|4.0|10036|Mexican
a2BkT6uUKDpzhLalkksJsg|2024-10-17 21:27:52.715809|Tacombi|202 E 70th St, New York, NY 10021|40.768036983514506,-73.96119122060036|198|4.1|10021|Mexican
PGpCaNkB1meojnbgRmb2gQ|2024-10-17 21:27:52.715826|Buena Vista Restaurant & Bar|536 9th Ave, New York, NY 10018|40.75686,-73.99356|433|4.6|10018|Mexican
vwrbegSwat5VrGBr9g_85Q|2024-10-17 21:27:52.715841|Zaragoza|215 Avenue A, New York, NY 10009|40.73000695743691,-73.98084516882041|2|4.5|10009|Mexican
SULHf6nGQ8sK0UpG1XU30w|2024-10-17 21:27:52.715858|Los Tacos No.1|229 W 43rd St, New York, NY 10036|40.7575067,-73.9877717|3202|4.7|10036|Mexican
kn9rgR4KlvyTTi-s76OIaQ|2024-10-17 21:27:52.715875|Toloache 82nd|166 E 82nd St, New York, NY 10028|40.776483,-73.956708|526|3.9|10028|Mexican
_2jMPuiK-7nLepFdPu2TTQ|2024-10-17 21:27:52.715891|345 Cantina|345 E 6th St, New York, NY 10003|40.72665,-73.98651|43|4.6|10003|Mexican
dYWjNK07igws9jFNgQmhng|2024-10-17 21:27:52.715908|Rosa Mexicano|9 E 18th St, New York, NY 10003|40.738285,-73.990807|1787|3.5|10003|Mexican
ddFY9PpygYagv7-jVduB2Q|2024-10-17 21:27:52.715924|Counter & Bodega|216 7th Ave, New York, NY 10011|40.74382426335628,-73.99627610328074|323|4.2|10011|Mexican
WqjqHMozyW42XLTtLnKGag|2024-10-17 21:27:52.715940|La Pulperia 44th HK|623 9th Ave, New York, NY 10036|40.7599217,-73.991841|931|4.2|10036|Mexican
KDpFAWkLofuabBSpnNJY5A|2024-10-17 21:27:52.715956|Amor Loco|134 W 46th St, New York, NY 10036|40.75797140479767,-73.98387478465575|137|4.0|10036|Mexican
xemN4tP9RlK5c-yUT-M71Q|2024-10-17 21:27:52.715972|Mamasita Bar & Grill|818 10th Ave, New York, NY 10019|40.767339,-73.989487|1731|4.2|10019|Mexican
4UxmxAqehEIh7fYrzUEA7A|2024-10-17 21:27:52.715988|Tacovision|244 E 53rd St, New York, NY 10004|40.7568200311153,-73.9678929001093|459|4.1|10004|Mexican
ED91L2kUw_pwF_Pd1ZdViQ|2024-10-17 21:27:52.716005|Rancho Tequileria|718 Amsterdam Ave, New York, NY 10025|40.793432,-73.971356|121|4.0|10025|Mexican
IfIyjm4SfORGYPbaAWST3g|2024-10-17 21:27:52.716021|MEXiCUE|225 5th Ave, New York, NY 10010|40.743617,-73.987867|732|4.0|10010|Mexican
tvqtAjAyc7dplVVwhw3VZQ|2024-10-17 21:27:52.716036|La Contenta Oeste|78 W 11th St, New York, NY 10011|40.7352,-73.99808|345|4.2|10011|Mexican
ueL0t_7Yu_ev2RrWK9dgDA|2024-10-17 21:27:52.716051|Tacombi|23 W 33rd St, New York, NY 10001|40.74844037111226,-73.98618609111018|365|4.2|10001|Mexican
